price,square,ngang,huong,duong,district
3.85,100,5,EN,10,camle
2.1,100,5,WS,7.5,camle
1.3,60,5,S,3.2,camle
2.65,125,---,W,5.5,camle
2.02,100,5,N,5.5,camle
9.1,229,11.5,EN,7.5,camle
2.35,90,5,E,5,camle
15,304,---,ES,10,camle
4.25,100,5,EN,10,camle
2.22,100,5,S,5.5,camle
3.2,100,5,WN,7.5,camle
5.3,100,5,W,11,camle
2.55,100,5,WN,5.5,camle
3.05,100,5,_,7.5,camle
2.35,95,5,EN,5,camle
2.35,115,5,W,5.5,camle
3.45,100,5,EN,10,camle
16.9,253,15,EN,33,camle
1.15,100,4,EN,3,camle
1.4,74,---,EN,3,camle
4.6,100,5,WN,18,camle
3.1,100,5,_,75,camle
1.95,100,5,E,5.5,camle
2.85,100,5,WN,7.5,camle
2.55,107,5,N,5.5,camle
2.85,68,4.2,WS,7.5,camle
2.25,100,5,E,5.5,camle
4,100,5,WS,10,camle
3,100,5,ES,10,camle
5.8,230,12.29,E,5.5,camle
6.8,220,10,WS,7,camle
3.3,108,8,S,7.5,camle
0.43,170,6,E,12,camle
2.15,100,5,W,5,camle
3.05,100,5,WS,7.5,camle
4.2,100,---,_,7,camle
2.8,100,5,S,7.5,camle
9,132,7,E,10,camle
9,314,12,WS,7.5,camle
2.85,100,---,_,7.5,camle
5.8,86,5,WS,7.5,camle
2.1,100,4.1,EN,4,camle
16.6,450,18,WS,7.5,camle
1.88,153,4,ES,2.5,camle
4.85,125,5,EN,7.5,camle
4.2,100,5,WS,7.5,camle
2.06,100,5,N,5.5,camle
3.04,105,5,_,7,camle
5.5,120,5,WS,7.5,camle
1.7,75,4.5,E,4,camle
3.5,100,5,ES,7.5,camle
10.9,240,8,E,15,camle
3.2,100,5,WN,7.5,camle
5.5,200,10,N,7,camle
1.95,78,5,EN,4.5,camle
2.5,75,5,ES,5.5,camle
2.8,107,5,ES,5.5,camle
2.9,100,5,EN,7.5,camle
2.93,97,5,WS,7.5,camle
2.15,100,5,_,5.5,camle
3.35,100,5,_,7.5,camle
2.02,100,5,N,5.5,camle
4.4,103,5,ES,9,camle
11,176,8.8,ES,33,camle
4.3,158,5.3,E,5.5,camle
2.07,100,5,S,5.5,camle
2.85,100,5,WN,7.5,camle
7.7,250,10,EN,7.5,camle
3.2,100,5,WN,7.5,camle
3.35,100,5,WN,7.5,camle
2.85,100,5,WN,7.5,camle
4.9,180,---,W,7.5,camle
4.5,100,5,ES,15,camle
1.29,52,3.5,ES,4,camle
9,314,12,WS,7.5,camle
2.85,108,5,E,7.5,camle
2.1,100,5,W,5.5,camle
2.75,120,5,WN,7.5,camle
4.7,130,5,E,5,camle
1.05,72,5,ES,7.5,camle
6.85,90,5,E,15,camle
3.5,136,7,N,5.5,camle
2.38,90,6,WN,5.5,camle
6,86,4.5,WS,7.5,camle
2.85,100,---,_,4,camle
2.65,100,5,S,5.5,camle
1.55,80,4.5,S,2,camle
3.35,115,5,E,10,camle
2.43,100,---,E,5.5,camle
1.95,72,4.75,WS,4,camle
2.5,92,5,ES,5.5,camle
1.99,72,4,EN,4,camle
2.22,80,5,W,5.5,camle
2.02,100,5,S,5.5,camle
3,100,5,S,7.5,camle
1.88,70,4.5,ES,4,camle
3.9,285,5,ES,7.5,camle
1.38,61,4,WS,3,camle
19,287,15,_,48,camle
1.92,100,5,N,5.5,camle
0.95,100,---,_,3,camle
2.65,100,5,S,5.5,camle
2.55,77,---,_,10,camle
3.2,100,5,ES,7.5,camle
1.55,80,---,S,2.5,camle
3.85,125,5,ES,10,camle
4.86,125,5,EN,7.5,camle
3.6,122,5,EN,7.5,camle
2,87,5,E,5.5,camle
2,88,5,E,5.5,camle
1.93,95,5,N,5.5,camle
2.45,100,---,E,7.5,camle
3.2,100,5,WN,7.5,camle
2.42,100,5,E,5.5,camle
7.8,100,---,_,22,camle
3.4,127,---,_,10,camle
8,121,5,S,15,camle
2.3,100,---,_,5.5,camle
2.85,100,5,WN,10,camle
3.98,194,8.5,E,5.5,camle
1.95,90,4.5,N,2.5,camle
4.2,125,5,W,10,camle
6.2,206,8.15,EN,7.5,camle
14.326,494,15,WS,7.5,camle
3.7,257,12.1,ES,24,camle
3,100,5,WN,10,camle
6.4,145,7.5,WN,10,camle
7.2,300,15,WN,7.5,camle
2.29,115,5,_,5.5,camle
7.8,300,15,_,7.5,camle
3.85,85,5,WS,10,camle
4,126,5,WN,10,camle
11,95,5.1,_,36,camle
2.5,90,---,_,5.5,camle
18,200,5,WS,27,camle
5.2,200,10,_,7.5,camle
8.4,185,9.5,EN,7,camle
2.5,100,5,WS,5.5,camle
7.15,97,---,_,10,camle
1.85,100,5,N,5.5,camle
4.2,100,5,WS,7.5,camle
3.16,100,5,_,7,camle
5.8,100,5,ES,10,camle
3.06,103,5,EN,7.5,camle
1,112,6,S,4,camle
2.85,100,5,EN,7.5,camle
6.5,200,10,WS,7.5,camle
2.85,100,5,EN,7.5,camle
3.1,85,---,E,7.5,camle
1.37,70,6.1,W,3,camle
2.58,81,4.5,W,5.5,camle
13.28,332,13.5,ES,7.5,camle
3.15,100,5,ES,7.5,camle
3.6,122,5,EN,7,camle
2.8,107,5,E,7.5,camle
6.3,147,24,_,10,camle
2.29,115,5,W,5.5,camle
3.1,100,5,WN,7.5,camle
2.75,87,5,EN,7,camle
2.85,100,5,WN,7.5,camle
2.65,100,5,S,5.5,camle
1.59,80,8,WS,3.5,camle
2.3,92,5,W,7.5,camle
2.67,100,5,S,5.5,camle
2.55,100,5,WN,5.5,camle
7.2,300,15,WN,7.5,camle
6.8,132,7,_,7.5,camle
3.5,100,5,ES,7.5,camle
2.29,100,5,S,5.5,camle
3.2,100,5,WN,7.5,camle
6,200,10,E,7.5,camle
3,100,5,WN,10,camle
2.73,100,5,S,11,camle
11,95,5,N,33,camle
2.05,115,5,E,5.5,camle
16.5,170,5,E,15,camle
10.8,94,5,N,33,camle
3,100,5,EN,10,camle
5.25,152,5,WS,7.5,camle
2.32,100,5,N,7.5,camle
2.05,90,6.64,EN,5,camle
11,120,5,WS,20,camle
1.36,70,6.1,WS,3,camle
3.25,90,---,N,7,camle
3.1,100,5,ES,7.5,camle
2.75,97,5,WN,5.5,camle
2.45,100,5,E,5.5,camle
4.2,125,5,W,10,camle
1.53,81,4,S,2.5,camle
7.2,97,5,E,7.5,camle
4,127,5,WN,11,camle
4.1,200,10,WN,5.5,camle
3.75,100,5,WS,10,camle
2.8,100,5,W,55,camle
4.75,110,5,WS,7,camle
2.35,90,5,S,5.5,camle
6.7,125,5,_,7.5,camle
5.2,100,5,WN,15,camle
6.2,206,8.15,EN,7.5,camle
4.5,100,5,EN,7,camle
7.2,100,5,_,48,camle
2.8,77,4.5,WN,4,camle
3,107,6,S,5.5,camle
3.65,100,5,EN,10,camle
3.5,100,5,ES,7.5,camle
4.1,130,5,EN,7.5,camle
2.38,92,5,N,7.5,camle
1.7,75,---,ES,4,camle
3.85,125,5,EN,7.5,camle
3,100,5,WN,7.5,camle
3.9,159,---,S,55,camle
2.15,100,5,W,5.5,camle
2.38,100,---,WN,7.5,camle
3.8,147,---,W,5.5,camle
4.7,100,5,EN,7.5,camle
4.2,150,7.8,WS,7.5,camle
3.25,100,5,EN,7.5,camle
1.95,100,5,N,5,camle
1.55,92,---,_,5.5,camle
3.35,100,5,WS,7.5,camle
2.38,113,5,S,5.5,camle
2.7,100,5,S,5.5,camle
1.89,101,---,WN,5,camle
5,200,10,W,7.5,camle
2.9,100,5,EN,7.5,camle
8.2,97,5,_,33,camle
2.66,100,5,S,5.5,camle
3.8,112,5,S,7.5,camle
2.25,105,5,WS,7.5,camle
2.63,125,5,N,5.5,camle
5,200,---,_,7.5,camle
2.4,95,5,N,7.5,camle
2.93,100,5,EN,7.5,camle
16.1,350,---,W,27,camle
5.7,168,7.8,N,10,camle
16.62,277,15,WS,33,camle
5.8,86,4.5,WS,7.5,camle
2.7,100,5,S,7.5,camle
2.3,92,5,N,7,camle
11,120,5,WS,20,camle
2.25,117,---,_,5,camle
1.45,170,6,E,12,camle
4.5,85,5,WS,7.5,camle
7,249,12,EN,7.5,camle
3.75,100,5,EN,10,camle
2.41,100,5,_,7.5,camle
4.5,100,5,EN,10,camle
2.5,100,5,W,5.5,camle
2.2,100,5,EN,7.5,camle
4,126,5,WN,10,camle
2.2,117,5,W,5.5,camle
2.15,117,5,W,5.5,camle
2.4,100,5,E,7.5,camle
2.4,114,5,S,5.5,camle
3.3,100,5,EN,7.5,camle
8.5,100,5,EN,30,camle
2.4,100,5,E,7.5,camle
2.9,109,5,EN,5.5,camle
3,100,4.2,E,5.5,camle
2.5,100,5,N,5.5,camle
2.8,100,5,ES,10,camle
12.5,200,10,EN,10,camle
15.5,200,10,E,33,camle
1.35,100,5,ES,4,camle
2.6,100,5,W,5.5,camle
3.05,100,5,ES,10,camle
2.65,100,---,S,5.5,camle
4.35,155,7.73,EN,5.5,camle
1.1,100,4,EN,3,camle
3.75,100,5,EN,6,camle
6.5,205,8.8,N,7,camle
4.05,100,5,ES,7.5,camle
7.6,100,---,_,10,camle
3.85,125,5,_,10,camle
19,170,5,E,60,camle
2.1,168,6,EN,4,camle
2.4,100,5,W,5.5,camle
4.15,99,5.5,WN,7.5,camle
6.4,230,---,_,6,camle
2.45,110,5,WS,7.5,camle
2.85,100,5,EN,7.5,camle
3.5,100,5,_,7.5,camle
2.28,100,5,W,5.5,camle
5.6,125,5,WS,20,camle
3.8,147,9,_,5.5,camle
11.8,312,11.42,_,10,camle
2.29,115,5,E,5.5,camle
1.93,100,---,S,5.5,camle
9.2,100,5,EN,33,camle
2,100,5,S,5,camle
2.85,100,5,WN,7.5,camle
2.52,100,5,W,5.5,camle
2.65,100,5,S,5.5,camle
8.1,179,9,_,10,camle
3.3,105,5,E,10,camle
3.6,100,---,_,7,camle
2.7,100,---,S,7.5,camle
1.65,71,4.5,_,4,camle
5,200,10,W,7.5,camle
4.05,100,5,_,7.5,camle
1.7,75,5,ES,4,camle
2.4,100,5,W,5.5,camle
5.8,86,4.5,_,7.5,camle
2.38,113,5,S,5.5,camle
30,250,10,W,20,camle
1.55,100,5,E,5,camle
4.85,130,5,WS,7.5,camle
1.7,80,8,S,3,camle
2.02,100,5,S,5.5,camle
3.65,98,5.2,W,7.5,camle
2.55,105,5,WS,7.5,camle
5,152,---,_,15,camle
6,100,5,EN,15,camle
3.3,100,5,_,7.5,camle
2.35,115,5,W,5.5,camle
2.2,100,5,N,5.5,camle
5,200,10,W,7.5,camle
6.2,206,8.15,EN,7.5,camle
2.39,100,5,W,5.5,camle
2.35,100,5,N,7.5,camle
2.38,113,5,S,5.5,camle
7.15,98,5,E,7.5,camle
5.7,171,8,ES,10,camle
6.5,205,8.8,EN,7.5,camle
3.55,100,5,WN,75,camle
6.5,205,---,E,7.5,camle
2.55,100,5,WN,5.5,camle
2.37,100,5,E,5.5,camle
1.38,104,5,E,2.5,camle
3.05,100,5,EN,7.5,camle
2.9,100,5,WN,7.5,camle
2.5,78,4,WN,10,camle
2.65,87,5,EN,7.5,camle
8.1,179,9,ES,10,camle
3.5,136,7,EN,5.5,camle
2.66,89,5,EN,7.5,camle
3.1,300,15,ES,7.5,camle
3.25,100,5,_,7.5,camle
5.15,158,8,EN,10,camle
3.15,100,5,WN,7.5,camle
26.8,217,7.6,WS,33,camle
1.9,95,5,N,5.5,camle
3.3,90,5,N,7.5,camle
8,121,5,S,15,camle
3.7,100,5,WS,10,camle
2.43,100,5,E,5.5,camle
2.55,100,---,_,10,camle
2.12,100,5,N,5,camle
10.9,240,5,S,5,camle
4.2,94,5,WS,10,camle
1.33,93,5,S,2,camle
5,200,10,W,7.5,camle
3.5,136,7,EN,5.5,camle
9,239,10,EN,7.5,camle
10.5,150,7.5,ES,10,camle
3.1,87,7,WN,5.5,camle
7.8,100,---,_,22,camle
2.95,80,---,E,10,camle
4.44,160,10,W,5.5,camle
13.5,200,---,_,36,camle
4.3,100,5,WN,7,camle
1.35,116,6,WS,3.5,camle
2.55,90,---,WN,5.5,camle
2.7,96,5,WN,7.5,camle
15,200,10,E,33,camle
3.1,100,5,ES,7.5,camle
4.6,120,---,ES,7.5,camle
8.5,180,8,WS,10,camle
2.43,100,5,E,5.5,camle
2.2,117,5,W,5.5,camle
2.98,87,7,WN,5,camle
1.9,80,7.5,_,3.5,camle
3.8,148,9,WN,5.5,camle
3.75,100,5,W,10,camle
7.1,100,5,S,36,camle
4.3,128,6.7,ES,7.5,camle
3,100,---,WN,7,camle
3.75,100,5,E,10,camle
2.29,115,5,N,5.5,camle
2.62,100,5,N,5,camle
1.5,100,5,WN,3,camle
2.95,100,5,EN,7.5,camle
3.2,100,5,S,7.5,camle
2.25,100,5,E,5.5,camle
3.35,130,7,E,5.5,camle
12.3,376,12,WS,7.5,camle
7.5,200,10,WS,33,camle
6.7,300,12,WN,7,camle
3.5,100,5,N,7.5,camle
2.02,100,5,E,5.5,camle
6.1,97,5,ES,15,camle
1.9,100,5,N,5.5,camle
10.5,300,12,EN,7.5,camle
2.95,100,5,WN,7.5,camle
2.85,100,5,WN,7.5,camle
2.75,90,---,_,7.5,camle
3.4,123,6,EN,7.5,camle
2.11,100,---,N,7.5,camle
2.65,129,5,WN,7,camle
4.35,104,5,ES,10,camle
11.5,239,---,_,15,camle
4.7,147,12,WS,7.5,camle
3.3,100,5,EN,7.5,camle
2.2,100,5,W,5,camle
2.85,100,---,_,7.5,camle
3.05,100,5,WS,7.5,camle
2.92,100,---,_,7,camle
2.9,100,5,WN,7.5,camle
4.5,138,5,WS,7,camle
2.2,92,5,S,5.5,camle
3.49,136,7,EN,5.5,camle
2.02,90,5,N,5.5,camle
3.3,84,5,_,7,camle
2.4,100,---,S,5.5,camle
6.5,205,8.8,EN,7.5,camle
2.63,125,5,N,5.5,camle
2.4,92,5,N,7.5,camle
2.2,117,5,W,5.5,camle
4.1,100,---,_,10,camle
4.6,128,5,WS,7.5,camle
3.4,100,5,W,10,camle
2.85,100,5,WN,4,camle
2.3,100,5,W,5.5,camle
9.5,250,10,WS,7.5,camle
3.3,100,5,WN,7.5,camle
2.4,100,5,W,5.5,camle
1.49,100,5,WN,2.5,camle
2.94,80,5,W,10,camle
3.2,100,5,_,7.5,camle
2.05,90,6.6,EN,6,camle
4.65,75,5,W,5,camle
3.9,194,8.5,EN,5.5,camle
5,200,10,W,7.5,camle
2.1,117,5,W,5.5,camle
1.8,153,4,ES,3,camle
1.05,100,6,ES,3,camle
2.35,90,5,E,5.5,camle
2.83,100,5,WN,7.5,camle
3.8,80,4.12,WS,7.5,thanhkhe
10,75,5,E,7.5,thanhkhe
1.7,58,6,E,3,thanhkhe
8.8,109,4.42,WS,10,thanhkhe
1.87,51,3.75,WN,2.5,thanhkhe
3.4,85,5,WS,5.5,thanhkhe
3.35,75,5,EN,5.5,thanhkhe
9.25,102,---,_,10,thanhkhe
3.5,90,5,_,5.5,thanhkhe
1.12,90,---,_,5.5,thanhkhe
4.3,64,5,E,5.5,thanhkhe
3,80,5,ES,5.5,thanhkhe
2.6,84,4,S,4,thanhkhe
3.35,75,5,EN,5.5,thanhkhe
2.6,86,4,ES,4,thanhkhe
2.85,70,---,WS,5.5,thanhkhe
3,80,5,ES,5.5,thanhkhe
2.83,70,5,WN,5.5,thanhkhe
4.1,108,5,_,10,thanhkhe
3.5,90,5,_,10,thanhkhe
2.85,68,---,_,4,thanhkhe
0.43,170,6,_,12,thanhkhe
2.3,90,5,WS,11,thanhkhe
2.25,72,---,E,3,thanhkhe
1.7,57,6,E,3,thanhkhe
4.2,70,4.6,WS,7.5,thanhkhe
2.4,70,5,_,3.5,thanhkhe
1.59,65,4.8,ES,2.5,thanhkhe
21.2,400,10,_,36,thanhkhe
1.7,54,---,_,2,thanhkhe
3.5,90,5,WN,5.5,thanhkhe
3.1,90,5,_,5.5,thanhkhe
2.95,106,5,WN,5,thanhkhe
4.5,101,5,WS,7.5,thanhkhe
3.9,85,5,WN,7.5,thanhkhe
4.6,75,5,ES,5.5,thanhkhe
3.34,75,5,EN,5.5,thanhkhe
2.6,86,4,_,5,thanhkhe
1.8,64,4.91,W,3.5,thanhkhe
21.94,414,10,_,36,thanhkhe
3.7,60,4.5,E,4,thanhkhe
20.4,250,---,_,24,thanhkhe
4.3,72,5,S,5.5,thanhkhe
1.48,69,4,N,3,thanhkhe
16,200,---,_,30,thanhkhe
4.8,85,5,WS,7.5,thanhkhe
3.5,90,5,_,5.5,thanhkhe
2.4,70,5,WS,4,thanhkhe
3.6,90,5,EN,5.5,thanhkhe
5.76,90,5,_,19,thanhkhe
2.6,84,4,_,4,thanhkhe
3.69,90,5,_,5.5,thanhkhe
6,160,---,_,5.5,thanhkhe
6.94,115,5,WN,10,thanhkhe
4.5,117,---,_,30,thanhkhe
2.85,68,---,_,5,thanhkhe
7.02,180,10,_,5,thanhkhe
16,200,8,EN,33,thanhkhe
3,90,5,_,5.5,thanhkhe
3.8,80,---,_,10,thanhkhe
4,72,5,_,5.5,thanhkhe
2.55,75,5,EN,5.5,thanhkhe
6.2,86,6,WN,5.5,thanhkhe
13.5,100,---,_,28,thanhkhe
21.94,414,10,WS,36,thanhkhe
3.5,90,5,EN,11,thanhkhe
2.55,50,5,N,2.5,thanhkhe
1.7,52,---,_,3,thanhkhe
3.6,90,---,_,11,thanhkhe
3.4,85,---,_,7.5,thanhkhe
14,234,10,_,36,thanhkhe
4.25,64,5,E,5.5,thanhkhe
8,119,4.2,N,10,thanhkhe
3.5,100,5,E,43,thanhkhe
19,250,10,EN,25,thanhkhe
2.7,70,5.65,S,6,thanhkhe
1.1,90,---,_,11,thanhkhe
3.25,115,4.7,WN,3,thanhkhe
3.5,90,5,_,5.5,thanhkhe
4,72,---,_,5,thanhkhe
2.05,40,3.5,EN,6,thanhkhe
13.2,128,---,WN,10,thanhkhe
21,250,10,N,15,thanhkhe
2.85,68,4,WN,5,thanhkhe
7.5,118,5,_,11,thanhkhe
2.7,70,---,S,4,thanhkhe
7,104,5,WN,15,thanhkhe
1.85,50,---,_,3,thanhkhe
3.5,90,5,_,5.5,thanhkhe
4.4,100,5,_,30,thanhkhe
4.1,108,---,_,11,thanhkhe
7.1,180,10,_,5.5,thanhkhe
2.88,65,5,S,5.5,thanhkhe
3.38,75,5,EN,7.5,thanhkhe
1.85,50,---,_,3,thanhkhe
10.87,205,---,WS,36,thanhkhe
3.6,90,5,_,12,thanhkhe
4,73,5,E,5,thanhkhe
2.83,70,4,WS,5.5,thanhkhe
3.5,90,5,_,5.5,thanhkhe
3.5,90,5,EN,5.5,thanhkhe
1.45,70,3.8,N,2.5,thanhkhe
8.1,200,10,_,19,thanhkhe
5.6,91,5,EN,10,thanhkhe
4.4,72,5,S,5.5,thanhkhe
4.2,80,---,_,3.5,thanhkhe
3.5,90,5,_,5.5,thanhkhe
2.35,84,9,N,4,thanhkhe
3.85,88,7.2,_,5.5,thanhkhe
4.3,70,4.6,WS,7.5,thanhkhe
6.2,86,6,N,5.5,thanhkhe
2.3,40,4.5,WN,2.5,thanhkhe
2.46,76,4,EN,2,thanhkhe
3.3,50,---,WN,7.5,thanhkhe
4.8,85,---,_,7.5,thanhkhe
3.85,81,---,_,5.5,thanhkhe
3.85,88,7.2,E,5.5,thanhkhe
3.6,90,5,_,6,thanhkhe
2.85,68,---,WN,4,thanhkhe
1.85,100,---,E,2.5,thanhkhe
14.7,180,---,_,39,thanhkhe
5.6,78,---,_,5,thanhkhe
3.7,81,4.5,WS,5.5,thanhkhe
3.69,81,---,_,5,thanhkhe
3.1,78,---,ES,55,thanhkhe
3.7,81,---,_,5,thanhkhe
1.5,52,7,_,2.5,thanhkhe
2.95,107,5,WN,7,thanhkhe
3.5,90,5,WS,10,thanhkhe
3.1,100,9,ES,2,thanhkhe
3.75,85,5,WN,7.5,thanhkhe
2.7,70,5.65,S,5,thanhkhe
17.8,200,8,N,45,thanhkhe
4.1,81,---,_,6,thanhkhe
1.87,51,3.75,WN,6,thanhkhe
3.7,90,5,WS,19,thanhkhe
17,200,8,N,45,thanhkhe
3.42,90,5,EN,5.5,thanhkhe
1.66,40,---,W,2.5,thanhkhe
3.6,90,5,EN,5.5,thanhkhe
1.5,52,7.1,W,2.5,thanhkhe
2.1,77,---,_,2.5,thanhkhe
1.5,53,7,W,3,thanhkhe
1.43,52,7.1,W,2,thanhkhe
3.88,88,5,EN,7.5,thanhkhe
1.65,52,4,S,2.5,thanhkhe
1.85,50,5.2,EN,3,thanhkhe
3.69,81,4.5,_,5.5,thanhkhe
3.5,90,5,_,5.5,thanhkhe
4.2,50,4,_,6,thanhkhe
3.4,85,5,WS,5.5,thanhkhe
3.5,90,5,_,5.5,thanhkhe
3,80,---,_,5.5,thanhkhe
2.15,60,4,WN,3.2,thanhkhe
1.5,53,7,W,2.5,thanhkhe
2.1,90,5,WS,11,thanhkhe
2.85,65,---,S,5,thanhkhe
4.1,90,5,_,10,thanhkhe
11,125,5,N,30,thanhkhe
20,250,10,_,25,thanhkhe
8.8,122,5,EN,33,thanhkhe
2.6,86,4,ES,5,thanhkhe
8.8,122,5,EN,30,thanhkhe
4.3,73,5,S,5.5,thanhkhe
4,189,8.2,E,9,thanhkhe
3.5,90,5,_,11,thanhkhe
4.7,77,6,E,5.5,thanhkhe
2.1,55,4,WN,3,thanhkhe
6.5,160,8,ES,5.5,thanhkhe
3.2,90,5,_,5.5,thanhkhe
21.53,414,10,WS,36,thanhkhe
3.8,70,5,ES,5.5,thanhkhe
2.7,70,---,_,4,thanhkhe
4.05,70,---,_,5.5,thanhkhe
3.5,90,5,_,5.5,thanhkhe
3.1,90,5,_,5.5,thanhkhe
3.75,85,5,_,7.5,thanhkhe
1.95,64,5,WS,3,thanhkhe
1.1,90,5,_,5.5,thanhkhe
5.6,91,5,_,10,thanhkhe
21,250,10,WN,30,thanhkhe
3.35,75,5,EN,5.5,thanhkhe
21.94,414,10,_,36,thanhkhe
2.25,55,5,S,2.5,thanhkhe
3.7,81,---,_,5,thanhkhe
8.3,104,5,EN,10,thanhkhe
1.95,53,5,WN,3,thanhkhe
2.6,78,6,E,5.5,thanhkhe
2.55,88,---,ES,4.5,thanhkhe
1.75,65,4,EN,2,thanhkhe
4,72,5,S,5.5,thanhkhe
3.9,85,---,_,7.5,thanhkhe
3.5,90,5,_,5.5,thanhkhe
4.6,75,5,ES,5.5,thanhkhe
3.8,80,4.1,WS,7.5,thanhkhe
4.2,64,5,E,5.5,thanhkhe
2.25,55,5,_,25,thanhkhe
4,70,5,S,5.5,thanhkhe
4.5,64,5,E,5.5,thanhkhe
2.8,85,5,WN,5.5,thanhkhe
4.2,70,---,_,7,thanhkhe
21,250,10,_,42,thanhkhe
4.5,75,---,_,5.5,thanhkhe
